Account: iDynamics SaaS Inc — Operating
Period: January 2026
Opening Balance: 1,250,000.00

transaction_date,post_date,description,type,amount,reference_number,running_balance
2026-01-10,2026-01-10,ACH CREDIT — MAPLE HEALTHCARE SYSTEMS — REF:SUB042,Credit,2090.00,TXN-2026-02-0015,1286619.00
2026-01-10,2026-01-10,ACH CREDIT — TORONTO MEDIA GROUP — REF:SUB051,Credit,2530.00,TXN-2026-02-0016,1289149.00
2026-01-12,2026-01-12,ACH CREDIT — MANITOBA FINANCE GROUP — REF:SUB036,Credit,1710.00,TXN-2026-02-0017,1290859.00
2026-01-12,2026-01-12,ACH CREDIT — QUEBEC MANUFACTURING — REF:SUB056,Credit,3230.00,TXN-2026-02-0018,1294089.00
2026-01-13,2026-01-13,ACH CREDIT — MONTREAL FINANCE HUB — REF:SUB010,Credit,585.00,TXN-2026-02-0019,1294674.00
2026-01-14,2026-01-14,ACH CREDIT — QUEBEC EDUCATION PLATFORM — REF:SUB034,Credit,720.00,TXN-2026-02-0020,1295394.00
2026-01-15,2026-01-15,ACH CREDIT — TECHVISION SOLUTIONS — REF:SUB041,Credit,1760.00,TXN-2026-02-0021,1297154.00
2026-01-15,2026-01-15,ACH CREDIT — VANCOUVER FINTECH LABS — REF:SUB052,Credit,2975.00,TXN-2026-02-0022,1300129.00
2026-01-15,2026-01-15,ACH CREDIT — ISLAND MEDIA PRODUCTIONS — REF:SUB062,Credit,935.00,TXN-2026-02-0023,1301064.00
2026-01-16,2026-01-16,ACH CREDIT — CENTRAL HEALTHCARE PARTNERS — REF:SUB019,Credit,1615.00,TXN-2026-02-0024,1302679.00
2026-01-17,2026-01-17,ACH CREDIT — ALBERTA E-COMMERCE HUB — REF:SUB030,Credit,1900.00,TXN-2026-02-0025,1304579.00
2026-01-17,2026-01-17,ACH CREDIT — BC MANUFACTURING SYSTEMS — REF:SUB032,Credit,4680.00,TXN-2026-02-0026,1309259.00
2026-01-18,2026-01-18,ACH CREDIT — TORONTO TECH VENTURES — REF:SUB047,Credit,2860.00,TXN-2026-02-0027,1312119.00
2026-01-19,2026-01-19,ACH CREDIT — PRAIRIE COMMERCE GROUP — REF:SUB004,Credit,1980.00,TXN-2026-02-0028,1314099.00
2026-01-19,2026-01-19,ACH CREDIT — CAPITAL EDUCATION TECH — REF:SUB017,Credit,540.00,TXN-2026-02-0029,1314639.00
2026-01-20,2026-01-20,ACH CREDIT — WEST COAST LOGISTICS — REF:SUB044,Credit,3325.00,TXN-2026-02-0030,1317964.00
2026-01-20,2026-01-20,ACH CREDIT — ALBERTA TECH INNOVATORS — REF:SUB061,Credit,1140.00,TXN-2026-02-0031,1319104.00
2026-01-22,2026-01-22,ACH CREDIT — PACIFIC ANALYTICS INC — ANNUAL RENEWAL REF:SUB002,Credit,46800.00,TXN-2026-02-0032,1365904.00
2026-01-22,2026-01-22,ACH CREDIT — BC RETAIL NETWORKS — REF:SUB046,Credit,3600.00,TXN-2026-02-0033,1369504.00
2026-01-22,2026-01-22,ACH CREDIT — MONTREAL MANUFACTURING PRO — REF:SUB048,Credit,3960.00,TXN-2026-02-0034,1373464.00
2026-01-22,2026-01-22,ACH CREDIT — PACIFIC ANALYTICS INC — ANNUAL RENEWAL REF:SUB054,Credit,23826.00,TXN-2026-02-0035,1397290.00
2026-01-23,2026-01-23,ACH CREDIT — ONTARIO EDUCATION CONNECT — REF:SUB026,Credit,1520.00,TXN-2026-02-0036,1398810.00
2026-01-23,2026-01-23,ACH CREDIT — TORONTO COMMERCE CLOUD — REF:SUB039,Credit,2465.00,TXN-2026-02-0037,1401275.00
2026-01-25,2026-01-25,ACH CREDIT — WESTERN RETAIL GROUP — REF:SUB024,Credit,2635.00,TXN-2026-02-0038,1403910.00
2026-01-26,2026-01-26,ACH CREDIT — MARITIME SAAS VENTURES — REF:SUB037,Credit,5250.00,TXN-2026-02-0039,1409160.00
2026-01-26,2026-01-26,ACH CREDIT — BC EDUCATION INNOVATIONS — REF:SUB040,Credit,1710.00,TXN-2026-02-0040,1410870.00
2026-01-27,2026-01-27,ACH CREDIT — PRAIRIE HEALTH CONNECT — REF:SUB011,Credit,1980.00,TXN-2026-02-0041,1412850.00
2026-01-28,2026-01-28,ACH CREDIT — TORONTO TECH VENTURES — REF:SUB022,Credit,4950.00,TXN-2026-02-0042,1417800.00
2026-01-28,2026-01-28,ACH CREDIT — VANCOUVER HEALTH SYSTEMS — REF:SUB035,Credit,2200.00,TXN-2026-02-0043,1420000.00
2026-01-28,2026-01-28,ACH CREDIT — CALGARY COMMERCE SOLUTIONS — REF:SUB057,Credit,4200.00,TXN-2026-02-0044,1424200.00
2026-01-30,2026-01-30,ACH CREDIT — ATLANTIC SAAS SYSTEMS — REF:SUB020,Credit,1650.00,TXN-2026-02-0045,1425850.00
2026-01-31,2026-01-31,ACH CREDIT — OTTAWA RETAIL SOLUTIONS — REF:SUB033,Credit,2125.00,TXN-2026-02-0046,1427975.00
