invoice_id,invoice_number,invoice_date,customer_id,customer_name,subscription_id,plan_name,billing_cycle,period_start,period_end,seats,unit_price_usd,subtotal,discount_pct,discount_amount,amount_due_usd,status,payment_date,failure_reason
in_20260200028,INV-2026-02-0028,2026-02-18,CUST022,Toronto Tech Ventures,SUB047,Sales Hub,Monthly,2026-02-18,2026-02-28,26,110.00,2860.00,0,0.00,2860.00,paid,2026-02-18,
in_20260200029,INV-2026-02-0029,2026-02-19,CUST004,Prairie Commerce Group,SUB004,Sales Hub,Monthly,2026-02-19,2026-02-28,18,110.00,1980.00,0,0.00,1980.00,paid,2026-02-19,
in_20260200030,INV-2026-02-0030,2026-02-19,CUST017,Capital Education Tech,SUB017,Analytics Starter,Monthly,2026-02-19,2026-02-28,12,45.00,540.00,0,0.00,540.00,paid,2026-02-19,
in_20260200031,INV-2026-02-0031,2026-02-20,CUST028,Prairie SaaS Innovations,SUB028,Analytics Starter,Monthly,2026-02-20,2026-02-28,15,45.00,675.00,0,0.00,675.00,paid,2026-02-20,
in_20260200032,INV-2026-02-0032,2026-02-20,CUST009,West Coast Logistics,SUB044,Analytics Growth,Monthly,2026-02-20,2026-02-28,35,95.00,3325.00,0,0.00,3325.00,paid,2026-02-20,
in_20260200033,INV-2026-02-0033,2026-02-20,CUST013,Alberta Tech Innovators,SUB061,Analytics Growth,Monthly,2026-02-20,2026-02-28,12,95.00,1140.00,0,0.00,1140.00,paid,2026-02-20,
in_20260200034,INV-2026-02-0034,2026-02-20,CUST042,Pacific Coast Analytics,SUB064,Analytics Growth,Monthly,2026-02-20,2026-02-28,32,95.00,3040.00,0,0.00,3040.00,paid,2026-02-20,
in_20260299001,CN-2026-02-0001,2026-02-21,CUST007,Ontario Manufacturing Tech,SUB050,Analytics Starter,Monthly,2026-02-21,2026-02-28,15,45.00,675.00,12,81.00,-169.71,refunded,2026-02-21,Prorated refund — subscription cancelled 2026-02-20
in_20260200035,INV-2026-02-0035,2026-02-22,CUST015,BC Retail Networks,SUB046,Analytics Enterprise,Monthly,2026-02-22,2026-02-28,20,180.00,3600.00,0,0.00,3600.00,paid,2026-02-22,
in_20260200036,INV-2026-02-0036,2026-02-22,CUST025,Montreal Manufacturing Pro,SUB048,Sales Hub,Monthly,2026-02-22,2026-02-28,36,110.00,3960.00,0,0.00,3960.00,paid,2026-02-22,
in_20260200037,INV-2026-02-0037,2026-02-23,CUST026,Ontario Education Connect,SUB026,Analytics Growth,Monthly,2026-02-23,2026-02-28,16,95.00,1520.00,0,0.00,1520.00,paid,2026-02-23,
in_20260200038,INV-2026-02-0038,2026-02-23,CUST039,Toronto Commerce Cloud,SUB039,Marketing Pro,Monthly,2026-02-23,2026-02-28,29,85.00,2465.00,0,0.00,2465.00,paid,2026-02-23,
in_20260200039,INV-2026-02-0039,2026-02-25,CUST024,Western Retail Group,SUB024,Marketing Pro,Monthly,2026-02-25,2026-02-28,31,85.00,2635.00,0,0.00,2635.00,paid,2026-02-25,
in_20260200040,INV-2026-02-0040,2026-02-26,CUST037,Maritime SaaS Ventures,SUB037,Platform Suite,Monthly,2026-02-26,2026-02-28,35,150.00,5250.00,0,0.00,5250.00,paid,2026-02-26,
in_20260200041,INV-2026-02-0041,2026-02-26,CUST040,BC Education Innovations,SUB040,Analytics Growth,Monthly,2026-02-26,2026-02-28,18,95.00,1710.00,0,0.00,1710.00,paid,2026-02-26,
in_20260200042,INV-2026-02-0042,2026-02-27,CUST011,Prairie Health Connect,SUB011,Sales Hub,Monthly,2026-02-27,2026-02-28,18,110.00,1980.00,0,0.00,1980.00,paid,2026-02-27,
in_20260200043,INV-2026-02-0043,2026-02-28,CUST020,Atlantic SaaS Systems,SUB020,Sales Hub,Monthly,2026-02-28,2026-02-28,15,110.00,1650.00,0,0.00,1650.00,paid,2026-02-28,
in_20260200044,INV-2026-02-0044,2026-02-28,CUST022,Toronto Tech Ventures,SUB022,Platform Suite,Monthly,2026-02-28,2026-02-28,33,150.00,4950.00,0,0.00,4950.00,paid,2026-02-28,
in_20260200045,INV-2026-02-0045,2026-02-28,CUST033,Ottawa Retail Solutions,SUB033,Marketing Pro,Monthly,2026-02-28,2026-02-28,25,85.00,2125.00,0,0.00,2125.00,paid,2026-02-28,
in_20260200046,INV-2026-02-0046,2026-02-28,CUST035,Vancouver Health Systems,SUB035,Sales Hub,Monthly,2026-02-28,2026-02-28,20,110.00,2200.00,0,0.00,2200.00,paid,2026-02-28,
in_20260200047,INV-2026-02-0047,2026-02-28,CUST021,Calgary Commerce Solutions,SUB057,Platform Suite,Monthly,2026-02-28,2026-02-28,28,150.00,4200.00,0,0.00,4200.00,paid,2026-02-28,
