Account: iDynamics SaaS Inc — Operating
Period: February 2026
Opening Balance: 1,427,975.00

transaction_date,post_date,description,type,amount,reference_number,running_balance
2026-02-19,2026-02-19,ACH CREDIT — CAPITAL EDUCATION TECH — REF:SUB017,Credit,540.00,TXN-2026-02-0031,1496369.00
2026-02-20,2026-02-20,ACH CREDIT — PRAIRIE SAAS INNOVATIONS — REF:SUB028,Credit,675.00,TXN-2026-02-0032,1497044.00
2026-02-20,2026-02-20,ACH CREDIT — WEST COAST LOGISTICS — REF:SUB044,Credit,3325.00,TXN-2026-02-0033,1500369.00
2026-02-20,2026-02-20,ACH CREDIT — ALBERTA TECH INNOVATORS — REF:SUB061,Credit,1140.00,TXN-2026-02-0034,1501509.00
2026-02-20,2026-02-20,ACH CREDIT — PACIFIC COAST ANALYTICS — REF:SUB064,Credit,3040.00,TXN-2026-02-0035,1504549.00
2026-02-21,2026-02-21,ACH DEBIT — REFUND TO ONTARIO MANUFACTURING TECH — REF:SUB050 CN-2026-02-0001,Debit,-169.71,TXN-2026-02-0036,1504379.29
2026-02-22,2026-02-22,ACH CREDIT — BC RETAIL NETWORKS — REF:SUB046,Credit,3600.00,TXN-2026-02-0037,1507979.29
2026-02-22,2026-02-22,ACH CREDIT — MONTREAL MANUFACTURING PRO — REF:SUB048,Credit,3960.00,TXN-2026-02-0038,1511939.29
2026-02-23,2026-02-23,ACH CREDIT — ONTARIO EDUCATION CONNECT — REF:SUB026,Credit,1520.00,TXN-2026-02-0039,1513459.29
2026-02-23,2026-02-23,ACH CREDIT — TORONTO COMMERCE CLOUD — REF:SUB039,Credit,2465.00,TXN-2026-02-0040,1515924.29
2026-02-25,2026-02-25,ACH CREDIT — WESTERN RETAIL GROUP — REF:SUB024,Credit,2635.00,TXN-2026-02-0041,1518559.29
2026-02-26,2026-02-26,ACH CREDIT — MARITIME SAAS VENTURES — REF:SUB037,Credit,5250.00,TXN-2026-02-0042,1523809.29
2026-02-26,2026-02-26,ACH CREDIT — BC EDUCATION INNOVATIONS — REF:SUB040,Credit,1710.00,TXN-2026-02-0043,1525519.29
2026-02-27,2026-02-27,ACH CREDIT — PRAIRIE HEALTH CONNECT — REF:SUB011,Credit,1980.00,TXN-2026-02-0044,1527499.29
2026-02-28,2026-02-28,ACH CREDIT — ATLANTIC SAAS SYSTEMS — REF:SUB020,Credit,1650.00,TXN-2026-02-0045,1529149.29
2026-02-28,2026-02-28,ACH CREDIT — TORONTO TECH VENTURES — REF:SUB022,Credit,4950.00,TXN-2026-02-0046,1534099.29
2026-02-28,2026-02-28,ACH CREDIT — OTTAWA RETAIL SOLUTIONS — REF:SUB033,Credit,2125.00,TXN-2026-02-0047,1536224.29
2026-02-28,2026-02-28,ACH CREDIT — VANCOUVER HEALTH SYSTEMS — REF:SUB035,Credit,2200.00,TXN-2026-02-0048,1538424.29
2026-02-28,2026-02-28,ACH CREDIT — CALGARY COMMERCE SOLUTIONS — REF:SUB057,Credit,4200.00,TXN-2026-02-0049,1542624.29
